haksu_cd,sigan,gwamok_kname,hakjum,prof_name,params,over_flag,isu_name,abeek,gwamok_no,haknyun,rowid,gyoyuk_gwajung_gb,jojik_gb
CS343,목 1 2 3,자료구조론,3,김남기,01@1214@00000,<span style=color:red>초과</span>,학선,,1214,2,5,01,A1000
CS343,수 1 2 3,자료구조론,3,김광훈,01@1215@00000,,학선,,1215,2,6,01,A1000
DD017,목 1 2 3,이산수학,3,&nbsp;,01@1216@00000,<span style=color:red>초과</span>,학선,,1216,2,7,01,A1000
DD017,수 1 2 3,이산수학,3,&nbsp;,01@1217@00000,<span style=color:red>초과</span>,학선,,1217,2,8,01,A1000
DD017,화 1 2 3,이산수학,3,황윤선,01@1219@00000,<span style=color:red>초과</span>,학선,,1219,2,9,01,A1000
DD725,수 6 7 8,웹프로그래밍,3,정경용,01@1220@00000,<span style=color:red>초과</span>,학선,,1220,2,10,01,A1000
DD725,수 1 2 3,웹프로그래밍,3,정경용,01@1221@00000,<span style=color:red>초과</span>,학선,,1221,2,11,01,A1000
DD725,월 6 7 8,웹프로그래밍,3,정경용,01@1222@00000,<span style=color:red>초과</span>,학선,,1222,2,12,01,A1000
DD725,화 1 2 3,웹프로그래밍,3,정경용,01@1223@00000,<span style=color:red>초과</span>,학선,,1223,2,13,01,A1000
EF624,화 6 7 8,컴퓨터구조,3,윤익준,01@1224@00000,<span style=color:red>초과</span>,학선,,1224,2,14,01,A1000
EF624,화 1 2 3,컴퓨터구조,3,안진호,01@1225@00000,<span style=color:red>초과</span>,학선,,1225,2,15,01,A1000
EF624,수 6 7 8,컴퓨터구조,3,안진호,01@1226@00000,<span style=color:red>초과</span>,학선,,1226,2,16,01,A1000
EF624,목 1 2 3,컴퓨터구조,3,안진호,01@1227@00000,<span style=color:red>초과</span>,학선,,1227,2,17,01,A1000
DD848,화 5,AI컴퓨터공학부전공및진로탐색,1,나관상,01@1828@00000,,학필,,1828,1,18,01,A1000
DD848,화 5,AI컴퓨터공학부전공및진로탐색,1,&nbsp;,01@1829@00000,,학필,,1829,1,19,01,A1000
DD848,화 5,AI컴퓨터공학부전공및진로탐색,1,이한용,01@1830@00000,,학필,,1830,1,20,01,A1000
